id,name,movie_count,_source_file
18,Drama,4334,genres.csv
35,Comedy,2777,genres.csv
53,Thriller,2172,genres.csv
28,Action,1967,genres.csv
10749,Romance,1384,genres.csv
27,Horror,1343,genres.csv
12,Adventure,1268,genres.csv
80,Crime,1170,genres.csv
878,Science Fiction,1010,genres.csv
14,Fantasy,867,genres.csv
10751,Family,779,genres.csv
16,Animation,680,genres.csv
9648,Mystery,650,genres.csv
36,History,354,genres.csv
10402,Music,354,genres.csv
10770,TV Movie,344,genres.csv
99,Documentary,288,genres.csv
10752,War,221,genres.csv
37,Western,141,genres.csv
