id,movie_id,person_id,name,character,cast_order,Project,movie_release_date,Sentiment_Score,Popularity_Score,Genre,Lead_Talent,job,department,author,author_username,author_rating,content,created_at,updated_at,url,movie_rating,content_length,show_id,type,director,country,date_added,release_year,duration,description,crew,budget,homepage,keywords,original_language,original_title,overview,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,vote_count,adult,backdrop_path,imdb_id,poster_path
565770,,,,,,Blue Beetle,,0.7139,2994.357,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,120000000.0,https://www.dc.com/bluebeetle,"armor, superhero, family relationships, family, high tech, job hunting, mexican american, aftercreditsstinger, duringcreditsstinger, immigrant family, college graduate, dc extended universe (dceu), alien technology, brother sister relationship, latino",en,Blue Beetle,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.","Warner Bros. Pictures, The Safran Company, DC Films",United States of America,2023-08-16,124818235.0,128.0,"English, Portuguese, Spanish",Released,Jaime Reyes is a superhero whether he likes it or not.,1023.0,False,/1syW9SNna38rSl9fnXwc9fP7POW.jpg,tt9362930,/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg
980489,,,,,,Gran Turismo,,0.8068,2680.593,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,60000000.0,https://www.granturismo.movie,"based on true story, racing, based on video game, duringcreditsstinger, exhilarated, joyful",en,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,"PlayStation Productions, 2.0 Entertainment, Columbia Pictures",United States of America,2023-08-09,114800000.0,135.0,"English, German, Japanese",Released,From gamer to racer.,702.0,False,/xFYpUmB01nswPgbzi8EOCT1ZYFu.jpg,tt4495098,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg
754720,,,,,,A Female Boss with Big Tits and Her Cherry Boy Colleague Stay in the Same Room on a Business Trip - She Seduces Him for Fun and Makes Him Cum 10 Times - Yua Mikami,,0.9,2020.286,Drama,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"cheating, office, big tits, unfaithful wife",ja,巨乳上司と童貞部下が出張先の相部屋ホテルで…いたずら誘惑を真に受けた部下が10発射精の絶倫性交 三上悠亜,"Yuzuru is this clumsy permavirgin employee who has Yua Mikami as a female boss, a successful and young married lady full of confidence and beauty, way out of his league. She, however, is so kind to him that the virgin guy develops a big crush on Yua.  One day they have to go on a business trip together, and he was in charge of arranging the accommodations. But instead of securing 2 rooms, he could only book just 1.  They decide to go out drinking instead until the morning comes. However, she gets smashed drunk and they returned to the room together…",S1 NO. 1 STYLE,Japan,2020-01-16,0.0,120.0,Japanese,Released,,19.0,True,/mWFn8XFCPOuv0vqVjekPscWSSGZ.jpg,,/upVlyO6Zc5AecmTNv0XZ1oiryZf.jpg
968051,,,,,,The Nun II,,0.6545,1692.778,Horror,Ensemble,,,,,,,,,,,,,,,,,,,,,38500000.0,https://www.warnerbros.com/movies/nun2,"france, bullying, sequel, religion, demon, gothic horror, demonic possession, praying, duringcreditsstinger, 1950s, demonic, girls' school, convent, the conjuring universe",en,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.","New Line Cinema, Atomic Monster, The Safran Company",United States of America,2023-09-06,231200000.0,110.0,"English, French",Released,Confess your sins.,365.0,False,/53z2fXEKfnNg2uSOPss2unPBGX1.jpg,tt10160976,/c9kVD7W8CT5xe4O3hQ7bFWwk68U.jpg
615656,,,,,,Meg 2: The Trench,,0.6912,1567.273,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,129000000.0,https://www.themeg.movie,"based on novel or book, sequel, shark, kaiju, civil action, oceans, shark cage",en,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,"Apelles Entertainment, Warner Bros. Pictures, di Bonaventura Pictures, CMC Pictures, DF Pictures, Onaroll Productions","China, United States of America",2023-08-02,384056482.0,116.0,English,Released,Back for seconds.,2034.0,False,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,tt9224104,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg
762430,,,,,,Retribution,,0.6816,1547.22,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,20000000.0,https://iiil.io/jCT7,"assassination, bomb, remake, divorce, duringcreditsstinger, phone call, berlin",en,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.","StudioCanal, The Picture Company, Ombra Films","France, United States of America",2023-08-23,12905464.0,91.0,"English, German",Released,All roads lead to the truth.,258.0,False,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,tt6906292,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg
1008042,,,,,,Talk to Me,,0.7214,1458.514,Horror,Ensemble,,,,,,,,,,,,,,,,,,,,,4500000.0,https://umbrellaent.com.au/movie/talk-to-me,"suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, graphic violence, teenager, modern australia",en,Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Causeway Films, Metrol Technology, Screen Australia, South Australian Film Corporation, Bankside Films, Head Gear Films, Adelaide Film Festival Investment Fund","Australia, United Kingdom",2023-07-26,72600000.0,95.0,English,Released,You call. They'll answer.,973.0,False,/iIvQnZyzgx9TkbrOgcXx0p7aLiq.jpg,tt10638522,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg
385687,,,,,,Fast X,,0.7264999999999999,1175.267,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,340000000.0,https://fastxmovie.com,"sequel, revenge, betrayal, racing, family, cliffhanger, cars",en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.","Universal Pictures, Original Film, One Race, Perfect Storm Entertainment",United States of America,2023-05-17,704709660.0,142.0,English,Released,The end of the road begins.,3881.0,False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,tt5433140,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg
678512,,,,,,Sound of Freedom,,0.7973,1111.036,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,15000000.0,https://www.soundoffreedommovie.com/,"kidnapping, human trafficking, based on true story, child kidnapping, lost children, children in danger, colombia",en,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",Santa Fe Films,United States of America,2023-07-03,212587173.0,131.0,"English, Spanish",Released,Fight for the light. Silence the darkness.,503.0,False,/eMPxmNvJjxVZIQWI2t1VmNC5IuR.jpg,tt7599146,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg
346698,,,,,,Barbie,,0.7279,1069.34,Comedy,Ensemble,,,,,,,,,,,,,,,,,,,,,145000000.0,https://www.barbie-themovie.com,"feminism, satire, patriarchy, based on toy, female protagonist, doll, submissive, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, gender discrimination, barbie, secret world",en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.","LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel","United Kingdom, United States of America",2023-07-19,1428545028.0,114.0,English,Released,She's everything. He's just Ken.,5074.0,False,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,tt1517268,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
976573,,,,,,Elemental,,0.7757,1008.942,Animation,Ensemble,,,,,,,,,,,,,,,,,,,,,200000000.0,https://movies.disney.com/elemental,"fire, computer animation, duringcreditsstinger, elements, water, city, hopeful",en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.","Walt Disney Pictures, Pixar",United States of America,2023-06-14,486797988.0,102.0,English,Released,Opposites react.,2467.0,False,/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,tt15789038,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg
1002338,,,,,,Operation Napoleon,,0.704,982.611,Thriller,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,based on novel or book,is,Napóleonsskjölin,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.","Sagafilm, Splendid Film","Germany, Iceland",2023-01-26,0.0,112.0,"English, Icelandic",Released,A dark secret hides beneath the ice.,25.0,False,/oghHR3X0hIcvs7xqyoFjA0GAZWn.jpg,tt15485390,/j2Or0w69bpPXrmkE0hpTzw6hzsr.jpg
820609,,,,,,No One Will Save You,,0.6897,961.212,Horror,Ensemble,,,,,,,,,,,,,,,,,,,,,22800000.0,https://www.20thcenturystudios.com/movies/no-one-will-save-you,"isolation, trauma, grief, female protagonist, home invasion, guilt, death of mother, alien attack, reclusive, aliens",en,No One Will Save You,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,"20th Century Studios, Star Thrower Entertainment",United States of America,2023-09-22,0.0,93.0,English,Released,A home invasion no one saw coming.,345.0,False,/zYlgqIpqJ1VAbvFhRhktAzIybVs.jpg,tt14509110,/ehGIDAMaYy6Eg0o8ga0oqflDjqW.jpg
951491,,,,,,Saw X,,0.7321,949.967,Crime,Ensemble,,,,,,,,,,,,,,,,,,,,,13000000.0,https://www.saw.movie,"mexico city, mexico, sadism, riddle, gore, sequel, con artist, cancer, scam, serial killer, torture, drugs, survival horror, duringcreditsstinger, franchise, jigsaw, méxico, saw, death game, requel",en,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.","Twisted Pictures, Lionsgate",United States of America,2023-09-26,29300000.0,118.0,"English, Spanish",Released,Witness the return of Jigsaw.,56.0,False,/9b3uxqcjkmay20EBZZj1KVow0r5.jpg,tt21807222,/aQPeznSu7XDTrrdCtT5eLiu52Yu.jpg
211672,,,,,,Minions,,0.64,875.581305,"[{""id"": 10751",Ensemble,,,,,,,,,,,,,,,,,,,,,74000000.0,http://www.minionsmovie.com/,"[{""id"": 3487, ""name"": ""assistant""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 189481, ""name"": ""evil mastermind""}, {""id"": 190999, ""name"": ""minions""}, {""id"": 209714, ""name"": ""3d""}]",en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-17,1156730962.0,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Before Gru, they had a history of bad bosses",4571.0,,,,
1076364,,,,,,Carl's Date,,0.7831,819.429,Animation,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"date, love, dog, short film",en,Carl's Date,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",Pixar,United States of America,2023-06-15,0.0,9.0,English,Released,New adventure. Same wingman.,201.0,False,/iOJX54nVAsnPawagFiWXKv1Y6sB.jpg,tt26736061,/y8NtM6q3PzntqyNRNw6wgicwRYl.jpg
1172009,,,,,,The Black Book,,0.7666999999999999,810.288,Mystery,Ensemble,,,,,,,,,,,,,,,,,,,,,1000000.0,https://www.netflix.com/title/81698992,"revenge thriller, nollywood",en,The Black Book,"After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.",Anakle Films,Nigeria,2023-09-22,0.0,124.0,English,Released,,21.0,False,/9WxqnP9c29wXd03sALSpxpTx8fk.jpg,tt24083908,/kn28W24slBLyGr8ZIZnxNE5YZrY.jpg
932651,,,,,,Incest Mother Sister W Azumi Kinoshita Okita Anzunashi,,0.8,803.324,Drama,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"incest, big tits",ja,MIMK-020,"A miraculous collaboration between a rare female body painter ""Izayoi Seishin"" and two exclusive actresses with a rare exquisite BODY! ! Her mother is a ""flower arrangement artist"" who has black hair and a bewitching sex appeal. Her older sister is a good-looking model who works exclusively for fashion magazines. The common point of such mothers and sisters is ... a transcendental beauty busty body that everyone envy! ! Due to my father's remarriage, I decided to live with her mother and sister-in-law.",MOODYZ,Japan,2014-08-01,0.0,240.0,Japanese,Released,,2.0,True,/k1NDwgPPtmYWtQaeaobRW6kJcqS.jpg,,/fhDavdfgtQgldKZ2lWxJX3D9Juu.jpg
852436,,,,,,Let Her Kill You,,0.6917,780.608,Thriller,Ensemble,,,,,,,,,,,,,,,,,,,,,3200000.0,,,fr,Seule : Les dossiers Silvercloud,"Alone in the mountains of Switzerland, Anne discovers that her isolated chalet is on surveillance and has been bugged. Caught up by her former life as an intelligence secret agent and an affair with her handler, Anne can only count on herself to get out alive.","Sombrero Films, Vega Film","France, Switzerland",2023-03-08,0.0,94.0,French,Released,,54.0,False,/5xUJBgds96m6Xi2EtUpSzbw24D7.jpg,tt18160646,/qx81rP4b4UFcxjabCqfe79F24Z0.jpg
797180,,,,,,Class Reunion Cuckolding - My Beloved Wife And Her Asshole Ex-Boyfriend Reignite Their Old Flame - Yua Mikami,,0.7,759.744,Drama,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"cheating, big tits",ja,NTR同窓会 愛する妻と最悪な元彼の気が狂いそうな胸糞浮気映像。 三上悠亜,"SSNI-542: ""It's okay, I love you ..."" Saying that, my beloved wife headed to the alumni association, and a video of a cuckold man who was a crap human Yarichin ex-boyfriend! Kissing, caressing and SEX are good ... the worst man who knows everything ... A body that instinctively seeks even if it knows that it is useless. ""Isn't it more comfortable than my husband's cock?"" An unfaithful wife who feels intensely with her husband who is too kind and the target violent caress. Pleasure purgatory where the body and mind have fallen and cannot return anymore. Unequaled Yarichin Man x Big Tits Married Woman Netorare Affair 4 Production!",S1 NO. 1 STYLE,Japan,2019-08-19,0.0,151.0,Japanese,Released,,10.0,True,/pyaLWOPmDcKaj0U2cTni9uwlO8a.jpg,,/yQ8JI4kizVE3p6tcg0W9H9oUqed.jpg
654865,,,,,,"While My Boss Was Away On A Business Trip, I Fucked The Shit Out Of The Boss's Wife For 3 Whole Days. Tsukasa Aoi",,0.8800000000000001,751.806,Other,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"adultery, boss",ja,上司が出張で不在中、上司の妻とめちゃくちゃハメまくった3日間。,"A boss who has loved me since I joined the company. The wife of such a boss was very beautiful and admired. One day, when my boss invited me to eat at home, I exchanged contacts. The night my boss went on a business trip, my wife suddenly called me and when I went home, there was Tsukasa in a bath towel. ""My husband has been having an affair all the time ... I shouldn't do it?"" At that moment, I lost my reason and the weekend of having an affair with my warrior started.",S1 NO. 1 STYLE,Japan,2019-07-19,0.0,120.0,Japanese,Released,,5.0,True,/uX2yd5uyRue3PTwtfjoI5DCfvJW.jpg,,/jPr6Yrxapf4e8rUr9NyOEwA67U9.jpg
